"","tffam","enzloc","adj.p"
"310","CPP","ICDH_cytosol",1
"311","E2F-DP","ICDH_cytosol",1
"312","EIL","ICDH_cytosol",1
"313","G2-like","ICDH_cytosol",1
"314","GeBP","ICDH_cytosol",0.0268881431809916
"315","GRAS","ICDH_cytosol",1
"316","GRF","ICDH_cytosol",1
"317","Homeobox","ICDH_cytosol",1
"318","HSF","ICDH_cytosol",1
"319","LBD","ICDH_cytosol",1
"320","MADS","ICDH_cytosol",1
"321","MYB","ICDH_cytosol",0.000943521982799554
"322","MYB-related","ICDH_cytosol",1
"323","NAC","ICDH_cytosol",1
"324","NLP","ICDH_cytosol",1
"325","PHD","ICDH_cytosol",1
"326","RAV","ICDH_cytosol",1
"327","REM","ICDH_cytosol",1
"328","SBP","ICDH_cytosol",1
"329","TCP","ICDH_cytosol",1
"330","Trihelix","ICDH_cytosol",0.0842776476778941
"331","TUB","ICDH_cytosol",1
"332","VOZ","ICDH_cytosol",1
"333","Whirly","ICDH_cytosol",1
"334","WRKY","ICDH_cytosol",1
"335","ZF-HD","ICDH_cytosol",1
"336","ZIM","ICDH_cytosol",1
"337","ABI3VP1","ICDH_mitochondrion",1
"338","Alfin-like","ICDH_mitochondrion",1
"339","AP2-EREBP","ICDH_mitochondrion",1
"340","ARF","ICDH_mitochondrion",1
"341","ARID","ICDH_mitochondrion",1
"342","ARR-B","ICDH_mitochondrion",1
"343","BBR/BPC","ICDH_mitochondrion",0.0916771179176682
"344","bHLH","ICDH_mitochondrion",1
"345","bZIP","ICDH_mitochondrion",1
"346","BZR","ICDH_mitochondrion",1
"347","C2C2-CO-like","ICDH_mitochondrion",1
"348","C2C2-Dof","ICDH_mitochondrion",0.514440960207724
"349","C2C2-Gata","ICDH_mitochondrion",1
"350","C2C2-YABBY","ICDH_mitochondrion",1
"351","C2H2","ICDH_mitochondrion",1
"352","C3H","ICDH_mitochondrion",1
"353","CAMTA","ICDH_mitochondrion",1
"354","CCAAT-DR1","ICDH_mitochondrion",1
"355","CCAAT-HAP2","ICDH_mitochondrion",1
"356","CCAAT-HAP3","ICDH_mitochondrion",1
"357","CCAAT-HAP5","ICDH_mitochondrion",1
"358","CPP","ICDH_mitochondrion",1
"359","E2F-DP","ICDH_mitochondrion",1
"360","EIL","ICDH_mitochondrion",1
"361","G2-like","ICDH_mitochondrion",1
"362","GeBP","ICDH_mitochondrion",1
"363","GRAS","ICDH_mitochondrion",1
"364","GRF","ICDH_mitochondrion",1
"365","Homeobox","ICDH_mitochondrion",1
"366","HSF","ICDH_mitochondrion",1
"367","LBD","ICDH_mitochondrion",0.402481911082067
"368","MADS","ICDH_mitochondrion",1
"369","MYB","ICDH_mitochondrion",1
"370","MYB-related","ICDH_mitochondrion",1
"371","NAC","ICDH_mitochondrion",1
"372","NLP","ICDH_mitochondrion",1
"373","PHD","ICDH_mitochondrion",1
"374","RAV","ICDH_mitochondrion",1
"375","REM","ICDH_mitochondrion",1
"376","SBP","ICDH_mitochondrion",1
"377","TCP","ICDH_mitochondrion",1
"378","Trihelix","ICDH_mitochondrion",0.0362841420365809
"379","TUB","ICDH_mitochondrion",1
"380","VOZ","ICDH_mitochondrion",1
"381","Whirly","ICDH_mitochondrion",1
"382","WRKY","ICDH_mitochondrion",0.0996402456115153
"383","ZF-HD","ICDH_mitochondrion",1
"384","ZIM","ICDH_mitochondrion",1
"385","ABI3VP1","ICDH_peroxisome",1
"386","Alfin-like","ICDH_peroxisome",1
"387","AP2-EREBP","ICDH_peroxisome",0.00329454157498861
"388","ARF","ICDH_peroxisome",1
"389","ARID","ICDH_peroxisome",0.289840804332761
"390","ARR-B","ICDH_peroxisome",1
"391","BBR/BPC","ICDH_peroxisome",1
"392","bHLH","ICDH_peroxisome",1
"393","bZIP","ICDH_peroxisome",1
"394","BZR","ICDH_peroxisome",1
"395","C2C2-CO-like","ICDH_peroxisome",1
"396","C2C2-Dof","ICDH_peroxisome",1
"397","C2C2-Gata","ICDH_peroxisome",1
"398","C2C2-YABBY","ICDH_peroxisome",1
"399","C2H2","ICDH_peroxisome",1
"400","C3H","ICDH_peroxisome",1
"401","CAMTA","ICDH_peroxisome",1
"402","CCAAT-DR1","ICDH_peroxisome",1
"403","CCAAT-HAP2","ICDH_peroxisome",1
"404","CCAAT-HAP3","ICDH_peroxisome",1
"405","CCAAT-HAP5","ICDH_peroxisome",1
"406","CPP","ICDH_peroxisome",1
"407","E2F-DP","ICDH_peroxisome",1
"408","EIL","ICDH_peroxisome",1
"409","G2-like","ICDH_peroxisome",1
"410","GeBP","ICDH_peroxisome",0.00260494523997618
"411","GRAS","ICDH_peroxisome",1
"412","GRF","ICDH_peroxisome",1
"413","Homeobox","ICDH_peroxisome",1
"414","HSF","ICDH_peroxisome",1
"415","LBD","ICDH_peroxisome",1
"416","MADS","ICDH_peroxisome",1
"417","MYB","ICDH_peroxisome",1
"418","MYB-related","ICDH_peroxisome",1
"419","NAC","ICDH_peroxisome",1
