"Var1","Var2","Var3","n","e","TF_fam","comploc_n","b","c","d","tfpercentage","pval","adj.p"
"SCL","cytosol","ARID",0,"SCL_cytosol",6,NA,NA,6,NA,NA,NA,NA
"SDH","cytosol","ARID",0,"SDH_cytosol",6,NA,NA,6,NA,NA,NA,NA
"ACO","mitochondrion","ARID",1,"ACO_mitochondrion",6,214,213,5,743,0.467289719626168,0.780004750746161,1
"CSY","mitochondrion","ARID",4,"CSY_mitochondrion",6,167,163,2,793,2.39520958083832,0.00987545443234138,0.454270903887704
"FUM","mitochondrion","ARID",1,"FUM_mitochondrion",6,46,45,5,911,2.17391304347826,0.255300590402794,1
"ICDH","mitochondrion","ARID",1,"ICDH_mitochondrion",6,202,201,5,755,0.495049504950495,0.757884020432679,1
"MDH","mitochondrion","ARID",4,"MDH_mitochondrion",6,149,145,2,811,2.68456375838926,0.00644773745267959,0.277252710465222
"OGDH","mitochondrion","ARID",3,"OGDH_mitochondrion",6,148,145,3,811,2.02702702702703,0.0500354003920082,1
"PDH","mitochondrion","ARID",5,"PDH_mitochondrion",6,471,466,1,490,1.06157112526539,0.0992196331911858,1
"SCL","mitochondrion","ARID",0,"SCL_mitochondrion",6,17,17,6,939,0,1,1
"SDH","mitochondrion","ARID",5,"SDH_mitochondrion",6,375,370,1,586,1.33333333333333,0.0360110376838446,1
"ACO","peroxisome","ARID",0,"ACO_peroxisome",6,NA,NA,6,NA,NA,NA,NA
"CSY","peroxisome","ARID",3,"CSY_peroxisome",6,150,147,3,809,2,0.051835509849295,1
"FUM","peroxisome","ARID",0,"FUM_peroxisome",6,NA,NA,6,NA,NA,NA,NA
"ICDH","peroxisome","ARID",3,"ICDH_peroxisome",6,70,67,3,889,4.28571428571429,0.00630088705071219,0.289840804332761
"MDH","peroxisome","ARID",3,"MDH_peroxisome",6,143,140,3,816,2.0979020979021,0.0456897033740183,1
"OGDH","peroxisome","ARID",0,"OGDH_peroxisome",6,NA,NA,6,NA,NA,NA,NA
"PDH","peroxisome","ARID",0,"PDH_peroxisome",6,NA,NA,6,NA,NA,NA,NA
"SCL","peroxisome","ARID",0,"SCL_peroxisome",6,NA,NA,6,NA,NA,NA,NA
"SDH","peroxisome","ARID",0,"SDH_peroxisome",6,NA,NA,6,NA,NA,NA,NA
"ACO","plastid","ARID",0,"ACO_plastid",6,NA,NA,6,NA,NA,NA,NA
"CSY","plastid","ARID",0,"CSY_plastid",6,NA,NA,6,NA,NA,NA,NA
