"","tffam","enzloc","pval"
"304","SBP","ICDH_cytosol",0.796564039840831
"305","G2-like","ICDH_cytosol",0.285089175100341
"306","C3H","ICDH_cytosol",0.188517698308816
"307","CPP","ICDH_cytosol",0.0850935172345162
"308","GRF","ICDH_cytosol",0.150302995509574
"309","REM","ICDH_cytosol",0.367314715432643
"310","Homeobox","ICDH_cytosol",0.15416495504198
"311","PHD","ICDH_cytosol",0.17983367983368
"312","C2C2-Dof","ICDH_cytosol",1
"313","WRKY","ICDH_cytosol",0.933230488896724
"314","CCAAT-DR1","ICDH_cytosol",1
"315","ARF","ICDH_cytosol",0.615979941563485
"316","RAV","ICDH_cytosol",1
"317","NLP","ICDH_cytosol",1
"318","ARR-B","ICDH_cytosol",1
"319","ZF-HD","ICDH_cytosol",0.709345539649789
"320","Whirly","ICDH_cytosol",1
"321","BBR/BPC","ICDH_cytosol",0.696666433276633
"322","MYB-related","ICDH_cytosol",0.771565658872845
"323","GRAS","ICDH_cytosol",1
"324","BZR","ICDH_cytosol",1
"325","Alfin-like","ICDH_cytosol",1
"326","HSF","ICDH_cytosol",1
"327","CAMTA","ICDH_cytosol",1
"328","VOZ","ICDH_cytosol",1
"329","CCAAT-HAP3","ICDH_cytosol",1
"330","CCAAT-HAP5","ICDH_cytosol",1
"331","C2C2-CO-like","ICDH_cytosol",1
"332","C2C2-YABBY","ICDH_cytosol",1
"333","ABI3VP1","ICDH_cytosol",1
"334","CCAAT-HAP2","ICDH_cytosol",1
"335","TUB","ICDH_cytosol",1
"336","ZIM","ICDH_cytosol",1
"337","bHLH","ICDH_mitochondrion",0.999897482364949
"338","MYB","ICDH_mitochondrion",0.99987769855975
"339","E2F-DP","ICDH_mitochondrion",1
"340","AP2-EREBP","ICDH_mitochondrion",0.539286428167012
"341","Trihelix","ICDH_mitochondrion",0.000755919625762101
"342","ARID","ICDH_mitochondrion",0.757884020432679
"343","C2H2","ICDH_mitochondrion",0.213515551264636
"344","GeBP","ICDH_mitochondrion",0.0329646224283008
"345","NAC","ICDH_mitochondrion",0.402789854387309
"346","C2C2-Gata","ICDH_mitochondrion",0.851149276090283
"347","bZIP","ICDH_mitochondrion",0.423722868205097
"348","EIL","ICDH_mitochondrion",0.693105970270296
"349","LBD","ICDH_mitochondrion",0.00894404246849037
"350","MADS","ICDH_mitochondrion",0.935255232945782
